category_name,channel_id
Music,UCEdvpU2pFRCVqU6yIPyTpMQ
Music,UCBVjMGOIkavEAhyqpxJ73Dw
Entertainment,UCSAUGyc_xA8uYzaIVG6MESQ
Music,UCDPM_n1atn2ijUwHd0NNRQw
Music,UCZU9T1ceaOgwfLRq7OKFU4Q
Entertainment,UC48h7Dst_hX82HxOf3xJw_w
Film and Animation,UCi8e0iOVk1fEOogdfu4YgfA
Gaming,UCYVinkwSX7szARULgYpvhLw
Nonprofits & Activism,UCsT0YIqwnpJCM-mx7-gSA4Q
Music,UC3MLnJtqc_phABBriLRhtgQ
Film and Animation,UCbTLwN10NoCU4WDzLf1JMOA
Music,UCFkoPRmuxqr37jvGmmpzhzQ
Education,UCRx3mKNUdl8QE06nEug7p6Q
Comedy,UC9gFih9rw0zNCK3ZtoKQQyA
Comedy,UC8-Th83bH_thdKZDJCrn88g
Music,UCt-k6JwNWHMXDBGm9IYHdsg
Music,UCLp8RBhQHu9wSsq62j_Md6A
Music,UCnyB9MYKRkSFK3IIB32CoVw
Entertainment,UCdxi8d8qRsRyUi2ERYjYb-w
Music,UCMtpmPs9end-dTNwVq16g4Q
Music,UCgc00bfF_PvO_2AvqJZHXFg
Comedy,UCB0d0JLn1WcGYcwwZ87d2LA
Music,UC9zX2xZIJ4cnwRsgBpHGvMg
Education,UCKAqou7V9FAWXpZd9xtOg3Q
Music,UCpb_iJuhFe8V6rQdbNqfAlQ
Music,UCP6uH_XlsxrXwZQ4DlqbqPg
Music,UCEf_Bc-KVd7onSeifS3py9g
Music,UCVp3nfGRxmMadNDuVbJSk8A
Gaming,UCo_IB5145EVNcf8hw1Kku7w
Entertainment,UCNdqe5zJ6k-i7XKoYWA4Z2g
Howto & Style,UCkvK_5omS-42Ovgah8KRKtg
Music,UCyC_4jvPzLiSkJkLIkA7B8g
Howto & Style,UCzTKskwIc_-a0cGvCXA848Q
Entertainment,UCppHT7SZKKvar4Oc9J4oljQ
Education,UCBnZ16ahKA2DZ_T5W0FPUXg
Gaming,UCYzPXprvl5Y-Sf0g4vX-m6g
Gaming,UCS5Oz6CHmeoF7vSad0qqXfw
Entertainment,UCKqx9r4mrFglauNBJc1L_eg
Pets & Animals,UC6E2mP01ZLH_kbAyeazCNdg
Music,UCaHNFIob5Ixv74f5on3lvIw
Entertainment,UCpB959t8iPrxQWj7G6n0ctQ
Howto & Style,UCD9PZYV5heAevh9vrsYmt1g
Music,UCm1dsgJNnhaLkY3uAdqN4mA
Music,UCIjYyZxkFucP_W-tmXg_9Ow
Entertainment,UCX52tYZiEh_mHoFja3Veciw
People & Blogs,UC-SV8-bUJfXjrRMnp7F8Wzw
Music,UCT9zcQNlyht7fRlcjmflRSA
Entertainment,UC7TTtOQKMXTWWMtWQMIgVSA
Entertainment,UCG8rbF3g2AMX70yOd8vqIZg
Music,UCsRM0YB_dabtEPGPTKo-gcw
Music,UC22nIfOTM7KLIQuFGMKzQbg
Howto & Style,UCWRV5AVOlKJR1Flvgt310Cw
People & Blogs,UCAuUUnT6oDeKwE6v1NGQxug
Entertainment,UCmL1WlDI8UkXDXCXcBQN9CA
Entertainment,UCn7dB9UMTBDjKtEKBy_XISw
